route_id,origin,destination,distance_km,fuel_used_liters,weather_condition,traffic_level,cargo_weight_kg,vehicle_type,avg_speed_kmph,delivery_time_hrs,fuel_type,temperature_c,humidity_percent,wind_speed_kmph,driver_id,shipment_type,delivery_status,road_type,fuel_cost_usd,emission_factor,engine_efficiency,tire_condition,brake_condition,maintenance_status,route_risk_level,fuel_station_visits,rest_stops,delivery_priority,carbon_emission_kg,co2_per_km
R00000,Warehouse_A,City_Z,926.78,189.05,Clear,Medium,4288.8,Truck_Medium,81.42,12.05,CNG,17.3,66.6,23.1,D00000,Electronics,In Transit,Highway,212.1,2.73,0.38,Good,Average,Overdue,High,4,2,Medium,516.11,0.5569
R00001,Warehouse_B,City_X,247.34,244.29000000000002,Snow,Medium,2169.84,Truck_Medium,89.41,3.62,Diesel,5.0,60.5,5.3,D00001,Machinery,Delivered,Urban,81.66,2.47,0.45,Worn,Average,Pending,Medium,2,0,High,1005.65,2.8132
R00002,Warehouse_C,City_X,624.33,203.77,Clear,Medium,11643.14,,89.11,8.47,CNG,39.3,87.1,4.2,D00002,Furniture,In Transit,Highway,243.04,2.58,0.41,Good,Good,On Schedule,Low,0,0,Medium,525.73,0.8421
R00003,Warehouse_A,City_X,433.69,96.32,Snow,Low,12880.0,Truck_Medium,44.55,10.76,Diesel,31.9,35.6,23.0,D00003,Machinery,Delivered,Highway,118.97,2.55,0.28,Good,Poor,On Schedule,Low,1,1,Low,245.62,0.5663
R00004,Warehouse_B,City_X,785.51,229.71,Clear,High,18406.27,Truck_Small,74.44,12.35,Petrol,-3.2,62.2,27.8,D00004,Furniture,Delayed,Highway,334.19,2.8,0.48,New,Average,Pending,High,3,1,Low,643.19,0.8188
R00005,Warehouse_B,City_Y,625.61,239.65,Clear,Medium,,Truck_Medium,81.77,8.28,Electric,30.3,67.0,15.9,D00005,Machinery,Delivered,Rural,313.9,2.68,0.33,Worn,Average,On Schedule,Low,2,2,Medium,642.26,1.0266
R00006,Warehouse_A,City_Y,519.79,125.28,Clear,Medium,5951.62,Truck_Large,45.14,12.64,Electric,-4.0,67.2,3.1,D00006,Furniture,Delivered,Urban,142.92,2.43,0.36,Worn,Average,Overdue,Medium,1,3,High,304.43,0.5857
R00007,Warehouse_C,City_Y,917.34,268.06,Snow,Low,2130.0,Truck_Medium,53.34,18.08,Petrol,2.4,33.6,33.1,D00007,Machinery,In Transit,Urban,360.77,2.49,0.42,New,Average,Overdue,Medium,2,1,Medium,667.47,0.7276
R00008,Warehouse_B,City_Z,408.26,,Clear,Medium,17814.11,Truck_Medium,63.75,8.24,Diesel,37.9,49.7,33.9,D00008,Groceries,In Transit,Rural,124.8,2.46,0.37,Good,Poor,Pending,Medium,0,1,Medium,293.48,0.7189
R00009,Warehouse_B,City_Z,258.98,93.79,Rain,Low,10098.3,Truck_Large,93.19,4.49,Diesel,33.5,45.8,16.0,D00009,Furniture,Delivered,Urban,103.8,2.41,0.4,New,Poor,Overdue,Low,4,1,High,226.03,0.8728
R00010,Warehouse_B,City_Z,627.7,229.06,Clear,Low,15009.12,Truck_Medium,91.04,8.87,Diesel,20.3,70.8,0.0,D00010,Groceries,Delivered,Urban,314.33,2.53,0.37,New,Good,On Schedule,Low,1,1,High,579.52,0.9232
R00011,Warehouse_B,City_Y,642.83,226.18,Clear,Low,1278.34,Truck_Medium,86.93,8.07,Diesel,25.0,74.1,31.8,D00011,Electronics,Delivered,Highway,259.79,2.53,0.33,Worn,Poor,Overdue,Medium,1,3,Medium,572.24,0.8902
R00012,Warehouse_C,City_X,467.14,127.57,Snow,Low,10274.64,Truck_Large,99.42,6.37,CNG,-5.5,42.6,3.5,D00012,Groceries,Delivered,Highway,129.56,2.49,0.36,Worn,Average,Pending,Medium,2,0,Medium,317.65,0.68
R00013,Warehouse_A,City_Y,512.28,109.84,Clear,Medium,7188.73,Truck_Large,54.56,10.08,CNG,6.6,79.6,11.2,D00013,Electronics,Delayed,Urban,137.12,2.62,0.33,Good,Poor,Pending,Medium,2,3,Low,287.78,0.5618
R00014,Warehouse_A,City_Z,961.58,259.53,,Medium,1576.29,Truck_Small,68.07,14.86,Diesel,6.1,59.1,12.4,D00014,Machinery,Delayed,Rural,344.92,2.49,0.36,Good,Good,On Schedule,Medium,2,2,Medium,646.23,0.6721
R00015,Warehouse_A,City_Z,746.05,250.64,Clear,High,15737.78,Truck_Large,66.8,11.73,Petrol,-8.4,45.8,13.2,D00015,Electronics,In Transit,Rural,349.52,2.78,0.3,New,Average,Pending,Low,0,1,Medium,696.78,0.934
R00016,Warehouse_B,City_X,155.07,52.81,Rain,Low,10745.13,Truck_Large,80.74,3.12,Petrol,25.2,48.0,30.8,D00016,Furniture,Delivered,Highway,60.89,2.69,0.27,New,Poor,Overdue,Medium,1,0,High,142.06,0.9161
R00017,Warehouse_C,City_Y,251.52,98.85,Rain,Low,7330.42,Truck_Medium,91.01,3.45,CNG,5.4,45.8,4.0,D00017,Electronics,Delivered,Highway,119.83,2.45,0.42,Good,Good,On Schedule,Low,4,1,Medium,242.18,0.9629
R00018,Warehouse_A,City_X,976.8,283.98,Snow,High,16310.17,Truck_Large,69.5,15.08,CNG,21.7,66.3,32.3,D00018,Groceries,Delivered,Urban,363.01,2.51,0.28,Good,Poor,Overdue,High,4,0,Low,712.79,0.7297
